Hospital_ID,Hospital_Name,Location_Lat,Location_Lon,ICU_Beds_Total,ICU_Beds_Occupied,Traffic_Index,Ambulance_ETA_Minutes,Patient_Severity_Level,Weather_Condition
H003,Sakra Hospital,12.803864,77.77177,23,7,1,15,Low,Rainy
H003,Sakra Hospital,12.896209,77.709459,55,26,9,16,Low,Foggy
H002,Apollo Hospital,12.875563,77.579039,44,34,5,21,High,Foggy
H001,Manipal Hospital,13.007657,77.799741,35,1,0,17,Low,Foggy
H002,Apollo Hospital,12.939777,77.67484,87,70,5,14,Medium,Rainy
H001,Manipal Hospital,12.928097,77.735,22,22,9,28,Low,Clear
H002,Apollo Hospital,12.843872,77.684738,35,11,10,18,Low,Foggy
H002,Apollo Hospital,12.938508,77.795343,53,46,9,26,Low,Foggy
H003,Sakra Hospital,12.901155,77.737344,47,5,4,18,Low,Clear
H001,Manipal Hospital,13.013549,77.712711,63,37,3,14,Medium,Foggy
H003,Sakra Hospital,12.915804,77.665353,20,8,7,18,Low,Clear
H003,Sakra Hospital,12.955093,77.675396,63,60,4,21,Low,Clear
H001,Manipal Hospital,12.993597,77.546022,64,56,1,10,Critical,Rainy
H003,Sakra Hospital,13.08086,77.79875,83,57,1,12,Low,Clear
H003,Sakra Hospital,13.073327,77.520395,39,15,7,22,High,Clear
H002,Apollo Hospital,12.922275,77.555957,38,0,0,7,Low,Clear
H003,Sakra Hospital,12.84687,77.755388,85,58,9,15,High,Stormy
H002,Apollo Hospital,13.025825,77.735529,63,51,4,23,Medium,Rainy
H001,Manipal Hospital,12.917044,77.549729,47,29,9,17,High,Rainy
H003,Sakra Hospital,13.086398,77.598422,60,54,4,11,Medium,Clear
H003,Sakra Hospital,13.020741,77.748231,49,10,6,27,Low,Clear
H002,Apollo Hospital,12.844431,77.526605,96,59,2,10,Medium,Stormy
H002,Apollo Hospital,13.007321,77.519682,34,34,9,10,Medium,Rainy
H002,Apollo Hospital,13.02024,77.606848,77,59,0,17,Low,Rainy
H001,Manipal Hospital,12.826845,77.707585,61,6,10,25,Low,Rainy
H003,Sakra Hospital,13.068603,77.546454,97,55,10,29,Low,Rainy
H002,Apollo Hospital,13.092869,77.724463,59,43,3,19,Low,Rainy
H002,Apollo Hospital,12.955087,77.559732,40,12,4,15,Medium,Clear
H003,Sakra Hospital,12.97345,77.665314,48,33,6,21,Low,Stormy
H001,Manipal Hospital,13.091976,77.516746,31,7,5,18,Critical,Rainy
H001,Manipal Hospital,13.091529,77.7118,25,2,6,21,Low,Clear
H001,Manipal Hospital,12.890186,77.614031,50,34,6,20,Low,Rainy
H001,Manipal Hospital,13.083116,77.757789,62,9,10,16,Low,Stormy
H003,Sakra Hospital,12.978634,77.742122,27,17,8,8,High,Clear
H001,Manipal Hospital,12.987295,77.728666,26,6,6,17,Medium,Foggy
H003,Sakra Hospital,13.097537,77.65067,50,12,3,17,Low,Rainy
H001,Manipal Hospital,12.905712,77.767155,67,18,6,18,Critical,Rainy
H002,Apollo Hospital,12.977602,77.729988,59,1,1,1,Low,Clear
H001,Manipal Hospital,13.005576,77.636511,50,8,8,21,Low,Rainy
H002,Apollo Hospital,12.969451,77.574019,53,22,6,24,Critical,Clear
H001,Manipal Hospital,13.070317,77.778422,44,16,6,25,Low,Stormy
H003,Sakra Hospital,12.810612,77.52411,44,17,1,15,Low,Foggy
H001,Manipal Hospital,12.926949,77.641901,20,17,3,12,Medium,Foggy
H002,Apollo Hospital,12.894372,77.788864,22,21,4,19,Low,Clear
H002,Apollo Hospital,12.862213,77.792177,98,93,7,26,Medium,Foggy
H003,Sakra Hospital,12.994833,77.650368,22,19,7,15,High,Clear
H001,Manipal Hospital,12.844268,77.635981,50,42,7,22,Low,Clear
H001,Manipal Hospital,12.923474,77.71547,67,24,3,10,Low,Clear
H001,Manipal Hospital,12.956457,77.690474,67,45,0,14,Low,Rainy
H001,Manipal Hospital,12.903054,77.704285,31,29,7,18,Medium,Foggy
H002,Apollo Hospital,12.865981,77.75865,56,12,3,31,Low,Rainy
H003,Sakra Hospital,13.000412,77.55255,72,9,7,26,Low,Stormy
H001,Manipal Hospital,12.921041,77.680687,72,24,5,24,Low,Foggy
H001,Manipal Hospital,13.018294,77.593394,54,47,4,22,Low,Rainy
H001,Manipal Hospital,12.871921,77.631563,73,69,4,17,Low,Stormy
H002,Apollo Hospital,13.01674,77.799451,22,13,2,12,Low,Stormy
H002,Apollo Hospital,12.878105,77.780973,87,84,4,20,Low,Rainy
H001,Manipal Hospital,12.904176,77.683639,22,4,5,13,Low,Rainy
H001,Manipal Hospital,13.068796,77.573119,99,15,0,17,Critical,Stormy
H002,Apollo Hospital,12.843589,77.715755,22,5,9,20,High,Rainy
H001,Manipal Hospital,12.975461,77.517373,41,22,10,21,Low,Rainy
H002,Apollo Hospital,13.022368,77.756044,96,93,4,15,Low,Foggy
H003,Sakra Hospital,12.808247,77.751429,96,65,2,19,High,Rainy
H001,Manipal Hospital,12.823332,77.563682,100,6,0,15,Medium,Clear
H002,Apollo Hospital,13.036585,77.687571,60,53,1,10,Low,Rainy
H001,Manipal Hospital,12.971724,77.664114,61,15,6,14,Medium,Clear
H003,Sakra Hospital,12.936168,77.542334,96,39,7,17,Medium,Foggy
H002,Apollo Hospital,12.905875,77.523845,62,7,0,6,Low,Clear
H001,Manipal Hospital,12.941711,77.535917,27,6,3,25,Medium,Foggy
H002,Apollo Hospital,12.94371,77.643169,95,5,0,9,High,Foggy
H001,Manipal Hospital,12.994105,77.710796,91,4,5,20,Low,Stormy
H001,Manipal Hospital,12.896535,77.746147,99,10,1,14,Low,Clear
H003,Sakra Hospital,12.882474,77.707392,94,20,8,24,Medium,Clear
H003,Sakra Hospital,12.961369,77.560554,27,6,2,20,Low,Clear
H001,Manipal Hospital,13.053044,77.689892,36,36,5,18,Low,Stormy
H002,Apollo Hospital,13.051666,77.736209,81,24,6,18,Medium,Rainy
H003,Sakra Hospital,12.906223,77.755402,99,35,1,21,High,Rainy
H002,Apollo Hospital,12.935357,77.67153,67,7,0,11,Medium,Stormy
H002,Apollo Hospital,13.013306,77.714159,94,31,6,21,Low,Foggy
H003,Sakra Hospital,12.97021,77.556517,95,30,5,24,Low,Stormy
H003,Sakra Hospital,12.824902,77.640133,97,31,1,22,Low,Foggy
H003,Sakra Hospital,12.962204,77.61234,61,10,0,13,Medium,Rainy
H001,Manipal Hospital,13.035675,77.739715,61,60,1,16,Medium,Foggy
H001,Manipal Hospital,13.056797,77.660224,81,22,10,13,Low,Rainy
H003,Sakra Hospital,12.856614,77.664004,65,59,4,24,Medium,Clear
H002,Apollo Hospital,12.860581,77.680227,65,64,8,29,High,Foggy
H003,Sakra Hospital,13.064175,77.58538,68,35,10,28,Medium,Clear
H002,Apollo Hospital,13.061227,77.583467,92,40,1,11,High,Rainy
H003,Sakra Hospital,12.812796,77.735028,78,49,7,22,Critical,Clear
H003,Sakra Hospital,12.821913,77.656549,40,6,1,18,Low,Foggy
H003,Sakra Hospital,12.890531,77.693137,65,48,7,20,Medium,Clear
H002,Apollo Hospital,12.817006,77.650841,52,51,10,25,Medium,Clear
H001,Manipal Hospital,13.090455,77.577301,98,49,9,23,Low,Stormy
H001,Manipal Hospital,12.909487,77.688361,85,46,1,19,Low,Foggy
H003,Sakra Hospital,13.07303,77.749123,97,25,5,14,Medium,Foggy
H002,Apollo Hospital,13.033198,77.541286,62,6,5,13,Medium,Stormy
H002,Apollo Hospital,12.880608,77.76561,61,56,0,22,Low,Stormy
H001,Manipal Hospital,12.898773,77.567822,35,22,7,25,Medium,Foggy
H001,Manipal Hospital,13.013561,77.791336,58,43,3,18,Low,Rainy
H002,Apollo Hospital,12.847341,77.753867,78,18,6,18,Medium,Foggy
H003,Sakra Hospital,13.047938,77.734512,63,16,6,20,Medium,Foggy
H003,Sakra Hospital,13.06051,77.743755,41,28,6,21,High,Foggy
H002,Apollo Hospital,12.965927,77.67634,65,51,7,20,High,Foggy
H001,Manipal Hospital,13.072797,77.514194,36,5,1,21,Medium,Clear
H002,Apollo Hospital,13.077673,77.644614,20,12,2,22,Medium,Stormy
H003,Sakra Hospital,13.057661,77.647019,63,60,9,20,Medium,Foggy
H001,Manipal Hospital,13.077022,77.584694,63,19,2,10,Critical,Foggy
H003,Sakra Hospital,12.977282,77.692766,78,68,2,22,Low,Rainy
H003,Sakra Hospital,13.059314,77.722059,60,6,2,24,Medium,Clear
H003,Sakra Hospital,12.810874,77.522545,59,16,7,30,Low,Rainy
H001,Manipal Hospital,12.842179,77.688903,56,6,1,19,Medium,Rainy
H002,Apollo Hospital,12.943082,77.72025,39,3,10,19,High,Foggy
H003,Sakra Hospital,13.012567,77.600389,58,43,6,20,High,Clear
H002,Apollo Hospital,12.947578,77.749031,61,13,0,26,Critical,Foggy
H001,Manipal Hospital,13.018274,77.763605,76,73,7,17,Medium,Foggy
H001,Manipal Hospital,12.836546,77.550225,29,27,3,18,Low,Stormy
H002,Apollo Hospital,13.013959,77.703283,64,47,4,27,Medium,Stormy
H003,Sakra Hospital,12.998865,77.535273,51,8,8,26,Low,Stormy
H001,Manipal Hospital,12.966467,77.759451,67,13,3,19,Low,Foggy
H001,Manipal Hospital,12.956328,77.655836,60,11,7,25,Medium,Foggy
H003,Sakra Hospital,12.890801,77.618344,79,41,0,26,Medium,Rainy
H002,Apollo Hospital,12.81588,77.553905,62,59,1,8,High,Rainy
H001,Manipal Hospital,12.924137,77.783658,58,38,10,27,High,Foggy
H001,Manipal Hospital,12.813715,77.640526,27,3,6,20,Low,Foggy
H003,Sakra Hospital,12.879129,77.552675,97,81,9,24,Low,Stormy
H001,Manipal Hospital,12.933616,77.711588,79,4,4,16,Medium,Clear
H002,Apollo Hospital,12.851979,77.778192,72,15,8,17,High,Stormy
H002,Apollo Hospital,12.931857,77.564041,51,15,3,20,High,Stormy
H001,Manipal Hospital,13.069465,77.677289,66,11,6,21,Low,Foggy
H003,Sakra Hospital,12.940513,77.789891,92,76,6,24,Critical,Stormy
H001,Manipal Hospital,12.836139,77.685414,55,4,10,19,High,Clear
H003,Sakra Hospital,12.834039,77.52055,97,16,0,18,High,Clear
H003,Sakra Hospital,13.031585,77.742257,39,18,3,16,Low,Stormy
H001,Manipal Hospital,12.90942,77.752211,92,16,10,18,Low,Rainy
H001,Manipal Hospital,12.823562,77.747924,95,2,6,28,Low,Foggy
H003,Sakra Hospital,12.937631,77.641415,76,22,8,18,Medium,Clear
